keys,clicks,impressions,ctr,position
https://www.chinaboundtravel.com/posts/2026-05-28-chinese-food-delivery-meituan-eleme-guide/,1,19,0.052632,12.316
https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,1,2,0.5,16
https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,1,26,0.038462,19.308
https://www.chinaboundtravel.com/,0,27,0,17.778
https://www.chinaboundtravel.com/7-day-china-itinerary/,0,5,0,23.6
https://www.chinaboundtravel.com/affiliate-disclosure/,0,1,0,9
https://www.chinaboundtravel.com/cities/hangzhou/,0,4,0,22.5
https://www.chinaboundtravel.com/cities/xian/,0,29,0,80.31
https://www.chinaboundtravel.com/cities/yangshuo/,0,1,0,46
https://www.chinaboundtravel.com/contact/,0,4,0,21.75
https://www.chinaboundtravel.com/content/,0,4,0,40.5
https://www.chinaboundtravel.com/disclaimer/,0,6,0,4.833
https://www.chinaboundtravel.com/ebook/,0,1,0,22
https://www.chinaboundtravel.com/internet/,0,18,0,79
https://www.chinaboundtravel.com/posts/,0,4,0,26.75
https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,0,107,0,74.047
https://www.chinaboundtravel.com/posts/2026-05-25-china-high-speed-rail-how-to-book-tickets/,0,138,0,30.145
https://www.chinaboundtravel.com/posts/2026-05-25-shanghai-bund-french-concession-2-day-guide/,0,6,0,8.167
https://www.chinaboundtravel.com/posts/2026-05-26-7-day-china-itinerary-beijing-xian-shanghai-first-timers/,0,7,0,3.143
https://www.chinaboundtravel.com/posts/2026-05-26-is-china-safe-for-tourists-2026-honest-assessment/,0,3,0,87.333
https://www.chinaboundtravel.com/posts/a-gastronomic-adventure-in-china-food-recommendations-for-international-travelers/,0,4,0,35
https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,0,17,0,48.059
https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,0,87,0,41.874
https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,0,51,0,20.882
https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,0,107,0,22.327
https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,0,52,0,11.404
https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,0,159,0,19.547
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,0,11,0,27.455
https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-your-ticket-to-a-smooth-china-adventure/,0,21,0,18.667
https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,0,6,0,27
https://www.chinaboundtravel.com/posts/cultural-etiquette-in-china-a-californians-guide/,0,17,0,61.882
https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,0,24,0,18.875
https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,0,1,0,49
https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,0,1,0,64
https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,0,83,0,62.446
https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,0,7,0,42.143
https://www.chinaboundtravel.com/posts/page/2/,0,1,0,29
https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,0,11,0,11.091
https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,0,11,0,37.182
https://www.chinaboundtravel.com/posts/transportation-guide-guide/,0,1,0,8
https://www.chinaboundtravel.com/posts/travel-safety-guide/,0,4,0,78
https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,0,1,0,11
https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,0,1,0,5
https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,0,40,0,20.7
https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,0,20,0,27
https://www.chinaboundtravel.com/pricing/,0,8,0,18.375
https://www.chinaboundtravel.com/privacy-policy/,0,4,0,17.75
https://www.chinaboundtravel.com/refund-policy/,0,2,0,6
https://www.chinaboundtravel.com/resources/,0,1,0,78
https://www.chinaboundtravel.com/tags/chengdu/,0,2,0,9
https://www.chinaboundtravel.com/visa/,0,1,0,7
