keys,clicks,impressions,ctr,position
2026-07-19,0,18,0,46.94444444444444
2026-07-20,0,23,0,59.21739130434783
2026-07-21,0,23,0,32.95652173913044
2026-07-22,0,12,0,26.583333333333332
2026-07-23,0,30,0,33.666666666666664
2026-07-24,0,15,0,21.666666666666668
2026-07-25,0,21,0,29.142857142857142
2026-07-26,0,22,0,30.90909090909091
2026-07-27,0,26,0,35.73076923076923
2026-07-28,0,20,0,41.3
2026-07-29,0,20,0,42.15
2026-07-30,0,7,0,48
2026-07-31,0,9,0,51.55555555555556
2026-08-01,0,5,0,35
2026-08-02,0,23,0,49.73913043478261
2026-08-03,0,20,0,36.5
2026-08-04,1,5,0.2,11
2026-08-05,0,32,0,29.03125
2026-08-06,0,53,0,20.81132075471698
2026-08-07,0,12,0,12.583333333333334
2026-08-08,0,11,0,28.09090909090909
2026-08-09,0,11,0,46
2026-08-10,0,152,0,29.69736842105263
2026-08-11,1,117,0.008547008547008548,24.82051282051282
2026-08-12,1,212,0.0047169811320754715,41.301886792452834
2026-08-13,0,230,0,37.334782608695654
